iter	RMSE
0	1.13905619
1	1.132249212
2	1.12442018
3	1.117305528
4	1.112511794
5	1.107554036
6	1.10283376
7	1.098947767
8	1.096688628
9	1.092204781
10	1.088635393
11	1.085918062
12	1.082160195
13	1.079271935
14	1.077073199
15	1.074358268
16	1.072071601
17	1.069219583
18	1.067248057
19	1.065993129
20	1.064815593
21	1.064224131
22	1.062489979
23	1.0605654
24	1.059299974
25	1.058626505
26	1.056603663
27	1.055507691
28	1.054504924
29	1.053962413
30	1.051586067
31	1.05064567
32	1.050448204
33	1.049703837
34	1.04862889
35	1.047747394
36	1.047144999
37	1.046367913
38	1.045399155
39	1.043917171
40	1.043377415
41	1.042697307
42	1.041929397
43	1.040878268
44	1.040308245
45	1.039532249
46	1.038942106
47	1.037928836
48	1.037260356
49	1.035933989
50	1.035308637
51	1.034632415
52	1.034305546
53	1.033425597
54	1.033085263
55	1.032591476
56	1.032244446
57	1.031991823
58	1.031430845
59	1.030758072
60	1.030354161
61	1.029752758
62	1.029265302
63	1.028763761
64	1.028279004
65	1.027465075
66	1.026837402
67	1.026536832
68	1.02577632
69	1.025443812
70	1.025080275
71	1.024792345
72	1.023979543
73	1.023848604
74	1.023417647
75	1.023060274
76	1.02268953
77	1.022190343
78	1.022127637
79	1.021930853
80	1.021513197
81	1.021075717
82	1.020307985
83	1.019990629
84	1.019731252
85	1.018950366
86	1.018548612
87	1.01808384
88	1.017893759
89	1.017637232
90	1.017403182
91	1.017324345
92	1.017258443
93	1.017063731
94	1.016336151
95	1.016270362
96	1.016139581
97	1.015554149
98	1.015009547
99	1.014338857
100	1.014005727
101	1.013692305
102	1.013128949
103	1.01299106
104	1.012737326
105	1.011986994
106	1.011883429
107	1.011551056
108	1.010835629
109	1.010499743
110	1.009731768
111	1.00917435
112	1.008458093
113	1.008111493
114	1.007768617
115	1.007507299
116	1.007452644
117	1.007338964
118	1.006912503
119	1.006641035
120	1.006558327
121	1.006322586
122	1.005409653
123	1.004994584
124	1.004515725
125	1.00369647
126	1.003325784
127	1.003266557
128	1.002915122
129	1.00287029
130	1.002769838
131	1.002415257
132	1.001906012
133	1.001678424
134	1.001266488
135	1.000910835
136	1.00079554
137	1.000528365
138	1.000278459
139	0.9999605653
140	0.999581117
141	0.9991635835
142	0.9988062452
143	0.9987711518
144	0.9986949346
145	0.9983435623
146	0.9983127834
147	0.9982770237
148	0.9979844516
149	0.9974384672
150	0.9970765066
151	0.9970134514
152	0.9967321655
153	0.9966344515
154	0.9963548879
155	0.9958385504
156	0.9958098315
157	0.995263823
158	0.9948344908
159	0.9946096572
160	0.9943834273
161	0.9942796003
162	0.9941213527
163	0.9938151609
164	0.9935358048
165	0.9934562996
166	0.992953376
167	0.99264242
168	0.9925964984
169	0.9923208871
170	0.9920749477
171	0.9917956306
172	0.9915826893
173	0.9914920528
174	0.9912598105
175	0.991168995
176	0.9908313209
177	0.990782761
178	0.9904514349
179	0.9903422976
180	0.9901756116
181	0.9899722663
182	0.9896813765
183	0.9894680781
184	0.9891050684
185	0.9890801645
186	0.9888733369
187	0.9888497944
188	0.9887751709
189	0.9886258346
190	0.988569088
191	0.9882503695
192	0.9881822308
193	0.9881508448
194	0.9880755693
195	0.987998325
196	0.9879655397
197	0.9878726453
198	0.9878399155
199	0.9876992617
200	0.987443656
201	0.9873046491
202	0.9872040029
203	0.9869243032
204	0.9867063962
205	0.9866637218
206	0.9866496952
207	0.9865190031
208	0.9864158833
209	0.9861453824
210	0.98587525
211	0.9857676261
212	0.9854713071
213	0.9853421798
214	0.9851061053
215	0.985023413
216	0.9849996028
217	0.9848707269
218	0.9848567231
219	0.9846906674
220	0.9846775394
221	0.9845106035
222	0.9843566678
223	0.9842982036
224	0.9841295125
225	0.9839842775
226	0.9838508751
227	0.9838124748
228	0.9837017438
229	0.9836462274
230	0.9836244286
231	0.9835395272
232	0.9834846952
233	0.9832404484
234	0.9830346808
235	0.9830259496
236	0.9829738445
237	0.9829619112
238	0.9827008209
239	0.9826515406
240	0.9824171254
241	0.9823795464
242	0.9823575065
243	0.9821932515
244	0.9821768008
245	0.9819208857
246	0.9818183012
247	0.9817223004
248	0.9815798608
249	0.9814308713
250	0.9812228608
251	0.9811222723
252	0.9810219236
253	0.9808073607
254	0.980665526
255	0.9806315127
256	0.9805893679
257	0.980580157
258	0.9804031759
259	0.9803920124
260	0.9802596268
261	0.9802256943
262	0.9801699483
263	0.9800374069
264	0.9799950961
265	0.9799203526
266	0.9798572155
267	0.9798330288
268	0.9798201591
269	0.9798095418
270	0.9797519885
271	0.9797155827
272	0.9796937712
273	0.9796564754
274	0.979643876
275	0.9795761062
276	0.9794676496
277	0.9792983744
278	0.9792602045
279	0.9791296439
280	0.9790324893
281	0.978824634
282	0.9787590898
283	0.9786557687
284	0.9786430591
285	0.9786015685
286	0.9784755811
287	0.9783178522
288	0.9783097563
289	0.9780311396
290	0.9779401967
291	0.9777708689
292	0.9777263787
293	0.9776026514
294	0.9775858686
295	0.9774738381
296	0.9774612347
297	0.9773354716
298	0.9773000336
299	0.9772476104
300	0.9772345352
301	0.9770783903
302	0.9769686813
303	0.9769350071
304	0.9767531204
305	0.9767211066
306	0.9765993568
307	0.9764776292
308	0.9764690459
309	0.9762900154
310	0.9761811794
311	0.9760658118
