iter	Passed	Remaining
0	146	146614
1	147	73393
2	147	48978
3	147	36765
4	147	29432
5	148	24542
6	148	21050
7	148	18430
8	148	16394
9	149	14764
10	149	13429
11	149	12318
12	149	11378
13	150	10573
14	150	9874
15	150	9262
16	150	8723
17	151	8243
18	151	7814
19	151	7427
20	151	7077
21	152	6759
22	152	6468
23	152	6201
24	152	5956
25	152	5730
26	153	5520
27	153	5326
28	153	5144
29	153	4975
30	154	4817
31	154	4668
32	154	4529
33	154	4398
34	155	4274
35	155	4157
36	155	4047
37	155	3942
38	155	3843
39	156	3749
40	156	3659
41	156	3574
42	156	3492
43	157	3415
44	157	3340
45	157	3269
46	157	3201
47	158	3135
48	158	3072
49	158	3012
50	158	2954
51	159	2899
52	159	2846
53	159	2795
54	159	2746
55	160	2699
56	160	2653
57	160	2608
58	160	2565
59	161	2524
60	161	2484
61	161	2445
62	161	2407
63	162	2371
64	162	2335
65	162	2301
66	162	2267
67	163	2235
68	163	2204
69	163	2173
70	163	2143
71	164	2115
72	164	2087
73	164	2061
74	164	2034
75	165	2009
76	165	1983
77	165	1959
78	165	1935
79	166	1911
80	166	1888
81	166	1866
82	166	1844
83	167	1823
84	167	1803
85	167	1782
86	167	1762
87	168	1742
88	168	1723
89	168	1705
90	168	1686
91	169	1668
92	169	1651
93	169	1634
94	169	1617
95	169	1600
96	170	1584
97	170	1568
98	170	1553
99	170	1538
100	171	1524
101	171	1510
102	171	1496
103	172	1482
104	172	1468
105	172	1454
106	172	1442
107	173	1429
108	173	1416
109	173	1404
110	173	1392
111	174	1380
112	174	1368
113	174	1356
114	174	1344
115	174	1333
116	175	1322
117	175	1311
118	175	1300
119	175	1289
120	176	1279
121	176	1269
122	176	1258
123	176	1248
124	177	1239
125	177	1229
126	177	1220
127	177	1210
128	177	1201
129	178	1192
130	178	1183
131	178	1174
132	178	1165
133	179	1157
134	179	1148
135	179	1140
136	179	1132
137	180	1124
138	180	1116
139	180	1108
140	180	1100
141	180	1093
142	181	1085
143	181	1078
144	181	1071
145	181	1063
146	182	1056
147	182	1050
148	182	1043
149	182	1036
150	183	1029
151	183	1023
152	183	1016
153	183	1009
154	184	1003
155	184	997
156	184	990
157	184	984
158	185	978
159	185	972
160	185	966
161	185	960
162	186	955
163	186	949
164	186	944
165	186	938
166	187	933
167	187	928
168	187	922
169	187	917
170	188	911
171	188	906
172	188	901
173	188	896
174	189	891
175	189	886
176	189	881
177	189	876
178	190	871
179	190	866
180	190	862
181	190	857
182	190	852
183	191	848
184	191	843
185	191	838
186	191	834
187	192	829
188	192	825
189	192	820
190	192	816
191	193	812
192	193	807
193	193	803
194	193	799
195	193	795
196	194	791
197	194	787
198	194	783
199	194	779
200	194	775
201	195	771
202	195	767
203	195	763
204	195	759
205	196	755
206	196	752
207	196	748
208	196	744
209	197	741
210	197	737
211	197	734
212	197	730
213	197	727
214	198	723
215	198	720
216	198	716
217	198	713
218	199	710
219	199	707
220	199	703
221	199	700
222	200	697
223	200	694
224	200	691
225	200	688
226	201	684
227	201	681
228	201	678
229	201	675
230	202	672
231	202	669
232	202	666
233	202	663
234	202	660
235	203	657
236	203	654
237	203	651
238	203	649
239	204	646
240	204	643
241	204	640
242	204	638
243	205	635
244	205	632
245	205	629
246	205	627
247	205	624
248	206	622
249	206	619
250	206	616
251	206	614
252	207	611
253	207	609
254	207	606
255	207	604
256	208	601
257	208	599
258	208	596
259	208	594
260	209	591
261	209	589
262	209	587
263	209	584
264	210	582
265	210	580
266	210	577
267	210	575
268	210	573
269	211	570
270	211	568
271	211	566
272	211	564
273	212	561
274	212	559
275	212	557
276	212	555
277	213	553
278	213	551
279	213	549
280	213	547
281	214	545
282	214	543
283	214	541
284	215	539
285	215	537
286	215	535
287	215	533
288	216	531
289	216	529
290	216	527
291	216	525
292	217	523
293	217	521
294	217	519
295	217	518
296	218	516
297	218	514
298	218	512
299	218	510
300	219	509
301	219	507
302	219	505
303	220	503
304	220	501
305	220	500
306	220	498
307	220	496
308	221	494
309	221	492
310	221	491
311	221	489
312	222	487
313	222	486
314	222	484
315	223	482
316	223	481
317	223	479
318	223	477
319	224	476
320	224	474
321	224	472
322	224	471
323	225	469
324	225	468
325	225	466
326	225	465
327	226	463
328	226	462
329	226	460
330	227	459
331	227	457
332	227	456
333	228	454
334	228	453
335	228	452
336	229	450
337	229	449
338	229	447
339	230	446
340	230	445
341	230	443
342	231	442
343	231	441
344	231	439
345	231	438
346	232	436
347	232	435
348	232	434
349	233	432
350	233	431
351	233	430
352	233	428
353	234	427
354	234	426
355	234	424
356	235	423
357	235	422
358	235	420
359	235	419
360	236	417
361	236	416
362	236	415
363	236	413
364	237	412
365	237	411
366	237	409
367	237	408
368	238	407
369	238	406
370	238	404
371	239	403
372	239	402
373	239	400
374	239	399
375	240	398
376	240	397
377	240	396
378	241	394
379	241	393
380	241	392
381	241	391
382	242	390
383	242	389
384	242	387
385	243	386
386	243	385
387	243	384
388	243	383
389	244	381
390	244	380
391	244	379
392	244	378
393	245	377
394	245	375
395	245	374
396	246	373
397	246	372
398	246	371
399	246	370
400	247	369
401	247	368
402	247	367
403	248	366
404	248	365
405	248	363
406	249	362
407	249	361
408	249	360
409	249	359
410	250	358
411	250	357
412	250	356
413	250	355
414	251	354
415	251	352
416	251	351
417	252	350
418	252	349
419	252	348
420	252	347
421	253	346
422	253	345
423	253	344
424	253	343
425	254	342
426	254	341
427	254	340
428	254	339
429	255	338
430	255	337
431	255	336
432	255	335
433	256	334
434	256	333
435	256	331
436	256	330
437	257	329
438	257	328
439	257	327
440	257	326
441	258	325
442	258	324
443	258	323
444	258	322
445	259	321
446	259	320
447	259	319
448	259	318
449	260	317
450	260	316
451	260	315
452	260	314
453	260	313
454	261	312
455	261	311
456	261	311
457	262	310
458	262	309
459	262	308
460	262	307
461	262	306
462	263	305
463	263	304
464	263	303
465	264	302
466	264	301
467	264	300
468	264	299
469	265	299
470	265	298
471	265	297
472	266	296
473	266	295
474	266	294
475	266	293
476	267	292
477	267	291
478	267	291
479	267	290
480	268	289
481	268	288
482	268	287
483	268	286
484	269	285
485	269	284
486	269	283
487	269	283
488	270	282
489	270	281
490	270	280
491	270	279
492	271	278
493	271	277
494	271	277
495	271	276
496	271	275
497	272	274
498	272	273
499	272	272
500	272	271
501	273	270
502	273	270
503	273	269
504	273	268
505	274	267
506	274	266
507	274	266
508	274	265
509	275	264
510	275	263
511	275	262
512	275	261
513	276	261
514	276	260
515	276	259
516	276	258
517	277	257
518	277	257
519	277	256
520	277	255
521	278	254
522	278	253
523	278	253
524	278	252
525	279	251
526	279	250
527	279	249
528	279	249
529	279	248
530	280	247
531	280	246
532	280	245
533	280	245
534	281	244
535	281	243
536	281	242
537	281	242
538	282	241
539	282	240
540	282	239
541	282	239
542	283	238
543	283	237
544	283	236
545	283	236
546	284	235
547	284	234
548	284	233
549	284	233
550	285	232
551	285	231
552	285	230
553	285	230
554	286	229
555	286	228
556	286	227
557	286	227
558	287	226
559	287	225
560	287	224
561	287	224
562	287	223
563	288	222
564	288	222
565	288	221
566	288	220
567	289	219
568	289	219
569	289	218
570	289	217
571	290	217
572	290	216
573	290	215
574	290	214
575	291	214
576	291	213
577	291	212
578	291	212
579	292	211
580	292	210
581	292	210
582	292	209
583	293	208
584	293	208
585	293	207
586	293	206
587	293	205
588	294	205
589	294	204
590	294	203
591	294	203
592	295	202
593	295	201
594	295	201
595	295	200
596	296	199
597	296	199
598	296	198
599	297	198
600	297	197
601	297	196
602	297	196
603	298	195
604	298	194
605	298	194
606	299	193
607	299	192
608	299	192
609	299	191
610	300	191
611	300	190
612	300	189
613	300	189
614	301	188
615	301	187
616	301	187
617	301	186
618	302	185
619	302	185
620	302	184
621	302	184
622	303	183
623	303	182
624	303	182
625	303	181
626	304	180
627	304	180
628	304	179
629	304	179
630	305	178
631	305	177
632	305	177
633	305	176
634	306	175
635	306	175
636	306	174
637	306	174
638	307	173
639	307	172
640	307	172
641	307	171
642	308	171
643	308	170
644	308	169
645	308	169
646	308	168
647	309	167
648	309	167
649	309	166
650	309	166
651	310	165
652	310	164
653	310	164
654	310	163
655	311	163
656	311	162
657	311	161
658	311	161
659	312	160
660	312	160
661	312	159
662	312	158
663	313	158
664	313	157
665	313	157
666	313	156
667	314	156
668	314	155
669	314	154
670	314	154
671	315	153
672	315	153
673	315	152
674	315	152
675	316	151
676	316	150
677	316	150
678	316	149
679	317	149
680	317	148
681	317	148
682	318	147
683	318	147
684	318	146
685	318	145
686	319	145
687	319	144
688	319	144
689	319	143
690	320	143
691	320	142
692	320	142
693	320	141
694	321	140
695	321	140
696	321	139
697	321	139
698	322	138
699	322	138
700	322	137
701	322	137
702	323	136
703	323	135
704	323	135
705	323	134
706	324	134
707	324	133
708	324	133
709	325	132
710	325	132
711	325	131
712	325	131
713	326	130
714	326	130
715	326	129
716	326	128
717	327	128
718	327	127
719	327	127
720	327	126
721	328	126
722	328	125
723	328	125
724	329	124
725	329	124
726	329	123
727	329	123
728	330	122
729	330	122
730	330	121
731	331	121
732	331	120
733	331	120
734	331	119
735	332	119
736	332	118
737	332	118
738	333	117
739	333	117
740	333	116
741	333	116
742	334	115
743	334	115
744	334	114
745	334	114
746	335	113
747	335	112
748	335	112
749	335	111
750	336	111
751	336	110
752	336	110
753	336	109
754	337	109
755	337	108
756	337	108
757	338	107
758	338	107
759	338	106
760	338	106
761	339	105
762	339	105
763	339	104
764	339	104
765	340	103
766	340	103
767	340	102
768	341	102
769	341	101
770	341	101
771	341	100
772	342	100
773	342	99
774	342	99
775	342	99
776	343	98
777	343	98
778	343	97
779	344	97
780	344	96
781	344	96
782	344	95
783	345	95
784	345	94
785	345	94
786	345	93
787	346	93
788	346	92
789	346	92
790	346	91
791	347	91
792	347	90
793	347	90
794	347	89
795	348	89
796	348	88
797	348	88
798	349	87
799	349	87
800	349	86
801	349	86
802	350	85
803	350	85
804	350	84
805	351	84
806	351	84
807	351	83
808	351	83
809	352	82
810	352	82
811	352	81
812	352	81
813	353	80
814	353	80
815	353	79
816	353	79
817	354	78
818	354	78
819	354	77
820	354	77
821	355	76
822	355	76
823	355	75
824	355	75
825	356	75
826	356	74
827	356	74
828	357	73
829	357	73
830	357	72
831	357	72
832	357	71
833	358	71
834	358	70
835	358	70
836	358	69
837	359	69
838	359	68
839	359	68
840	359	68
841	360	67
842	360	67
843	360	66
844	360	66
845	361	65
846	361	65
847	361	64
848	361	64
849	362	63
850	362	63
851	362	62
852	362	62
853	362	62
854	363	61
855	363	61
856	363	60
857	363	60
858	364	59
859	364	59
860	364	58
861	364	58
862	365	57
863	365	57
864	365	57
865	366	56
866	366	56
867	366	55
868	366	55
869	366	54
870	367	54
871	367	53
872	367	53
873	368	53
874	368	52
875	368	52
876	368	51
877	369	51
878	369	50
879	369	50
880	370	49
881	370	49
882	370	49
883	370	48
884	371	48
885	371	47
886	371	47
887	372	46
888	372	46
889	372	46
890	372	45
891	373	45
892	373	44
893	373	44
894	373	43
895	374	43
896	374	42
897	374	42
898	374	42
899	375	41
900	375	41
901	375	40
902	375	40
903	376	39
904	376	39
905	376	39
906	376	38
907	377	38
908	377	37
909	377	37
910	377	36
911	378	36
912	378	36
913	378	35
914	378	35
915	379	34
916	379	34
917	379	33
918	379	33
919	380	33
920	380	32
921	380	32
922	380	31
923	381	31
924	381	30
925	381	30
926	381	30
927	382	29
928	382	29
929	382	28
930	382	28
931	383	27
932	383	27
933	383	27
934	383	26
935	384	26
936	384	25
937	384	25
938	384	24
939	385	24
940	385	24
941	385	23
942	385	23
943	386	22
944	386	22
945	386	22
946	386	21
947	386	21
948	387	20
949	387	20
950	387	19
951	387	19
952	388	19
953	388	18
954	388	18
955	388	17
956	389	17
957	389	17
958	389	16
959	389	16
960	390	15
961	390	15
962	390	15
963	390	14
964	391	14
965	391	13
966	391	13
967	391	12
968	392	12
969	392	12
970	392	11
971	392	11
972	393	10
973	393	10
974	393	10
975	393	9
976	394	9
977	394	8
978	394	8
979	394	8
980	395	7
981	395	7
982	395	6
983	395	6
984	396	6
985	396	5
986	396	5
987	396	4
988	397	4
989	397	4
990	397	3
991	398	3
992	398	2
993	398	2
994	398	2
995	399	1
996	399	1
997	399	0
998	399	0
999	400	0
